Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.75657962
Total DOS in Cell and MT Volumes =    4.07808754   3.66973324
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49513810           0.38530023           0.27667303
  1    -1          -0.06766646           0.22358741           0.13329386
  1     0          -0.06766646           0.22409670           0.13329386
  1     1          -0.06766646           0.22460598           0.13329386
  2    -2           2.75295048           0.59307889           0.59172731
  2    -1           2.74387103           0.61466655           0.61326672
  2     0           2.76202992           0.57150046           0.57018789
  2     1           2.74387103           0.61466655           0.61326672
  2     2           2.75295048           0.59308812           0.59172731
  3    -3           0.00193308           0.00443354           0.00184891
  3    -2           0.00254254           0.00438056           0.00187703
  3    -1           0.00214718           0.00494048           0.00185702
  3     0           0.00161194           0.00495002           0.00183675
  3     1           0.00214719           0.00494786           0.00185702
  3     2           0.00254254           0.00438472           0.00187703
  3     3           0.00193309           0.00545948           0.00184891
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.75657962
Total DOS in Cell and MT Volumes =   23.38779359  22.05298198
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55428736           0.37132051           0.26178471
  1    -1          -0.09495967           0.21012483           0.12352606
  1     0          -0.09495967           0.21016751           0.12352606
  1     1          -0.09495967           0.21021019           0.12352606
  2    -2           1.64813736           4.53469423           4.33098336
  2    -1           1.79658033           4.21965058           4.08399956
  2     0           1.49969439           4.84589264           4.57796722
  2     1           1.79658033           4.21965058           4.08399956
  2     2           1.64813736           4.53084893           4.33098336
  3    -3           0.00172777           0.00528333           0.00179986
  3    -2           0.00232520           0.00432443           0.00184025
  3    -1           0.00193585           0.00514578           0.00181233
  3     0           0.00141565           0.00560336           0.00178115
  3     1           0.00193586           0.00515978           0.00181233
  3     2           0.00232520           0.00433420           0.00184025
  3     3           0.00172778           0.00538269           0.00179986
