Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.96681550
Total DOS in Cell and MT Volumes =   14.93761211  12.54656952
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.25469442           0.52563259           0.32586560
  1    -1          -0.58120509           0.30834007           0.17308568
  1     0          -0.58120509           0.30834007           0.17308568
  1     1          -0.58120509           0.30834007           0.17308568
  2    -2           1.20707500           2.63743915           2.31480902
  2    -1           1.20707500           2.63743915           2.31480902
  2     0           1.20707500           2.63743915           2.31480902
  2     1           1.20707500           2.63743915           2.31480902
  2     2           1.20707500           2.63743915           2.31480902
  3    -3           0.01426440           0.04282336           0.01820026
  3    -2           0.01426440           0.04282336           0.01820026
  3    -1           0.01426440           0.04282336           0.01820026
  3     0           0.01426440           0.04282336           0.01820026
  3     1           0.01426440           0.04282336           0.01820026
  3     2           0.01426440           0.04282336           0.01820026
  3     3           0.01426440           0.04282336           0.01820026
